Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Type,latitude,longitude
Rotes Tor - GrÃ¼ner Veltliner Smaragd 2018,Austria,Wachau,Franz Hirtzberger,4.1,79,42.5,2018,White,48.366866,15.4178484
Le Petit Cheval Bordeaux Blanc 2016,France,Bordeaux,ChÃ¢teau Cheval Blanc,4.4,79,138.6,2016,White,44.9195013,-0.1896825
Chardonnay 2018,South Africa,Elgin,Iona,4.1,79,23.5,2018,White,56.3347303,-6.4041001
Vom Vulkan 2018,Germany,Nahe,Gut Hermannsberg,4.0,79,15.65,2018,White,49.7961111,7.7583333
Meursault-Blagny 1er Cru 'La PiÃ¨ce sous le Bois' 2015,France,Blagny 1er Cru 'La PiÃ¨ce sous le Bois',Domaine Sylvain Langoureau,4.3,79,85.0,2015,White,46.9568472,4.7225146
Sauvignon 2017,Italy,SÃ¼dtirol - Alto Adige,Franz Haas,4.1,80,35.44,2017,White,46.3220608,11.2880419
Alte Reben Riesling 2018,Germany,Mosel,Van Volxem,4.0,80,17.69,2018,White,49.6427945,6.5787574
Condrieu Le Grand Vallon 2017,France,Condrieu,Francois Villard,4.2,80,40.9,2017,White,45.443575,4.7346721
Gaudium Fiano di Avellino 2016,Italy,Fiano de Avellino,I Capitani,4.1,81,12.53,2016,White,41.0245895,14.9252253
Hattenheim Engelmannsberg Riesling Trocken 2018,Germany,Rheingau,Balthasar Ress,4.1,81,17.9,2018,White,50.016097,8.0683057
Ried SchÃ¼tt DÃ¼rnsteiner Riesling Smaragd 2017,Austria,Wachau,Weingut Knoll,4.3,82,42.0,2017,White,48.3883514,15.5422425
Doosberg Riesling Trocken 2016,Germany,Rheingau,Peter Jakob KÃ¼hn,4.4,82,42.89,2016,White,50.01094,8.02121
Gris 2009,Italy,Friuli Isonzo,Lis Neris,4.0,82,44.28,2009,White,45.9293858,13.5271326
Hallgartener Hendelberg Riesling Trocken 2017,Germany,Rheingau,Peter Jakob KÃ¼hn,4.0,82,24.0,2017,White,50.01094,8.02121
Gavi Riserva 2016,Italy,Gavi,La Raia,4.0,82,18.5,2016,White,44.7260234,8.8114907
Terlaner Classico 2019,Italy,SÃ¼dtirol - Alto Adige,Terlan (Terlano),4.0,83,12.89,2019,White,46.5293309,11.2484293
Seven Flags Chardonnay 2017,South Africa,Elgin,Paul Cluver,4.4,83,53.35,2017,White,-34.1687417,19.0855573
Corton-Charlemagne Grand Cru 2015,France,Corton-Charlemagne Grand Cru,Domaine des HÃ©ritiers Louis Jadot,4.6,84,221.95,2015,White,48.1904205,-1.1379547
Pessac-LÃ©ognan Blanc 2005,France,Pessac-LÃ©ognan,ChÃ¢teau Smith Haut-Lafitte,4.2,84,119.95,2005,White,44.7326094,-0.5582209
Appius 2014,Italy,SÃ¼dtirol - Alto Adige,St. Michael-Eppan,4.4,84,110.0,2014,White,46.4560767,11.2623877
Villa Cordevigo Bianco 2016,Italy,Rosso Veronese,Villabella,4.3,84,19.07,2016,White,38.7881393,-77.3013687
Appius 2013,Italy,SÃ¼dtirol - Alto Adige,St. Michael-Eppan,4.5,85,100.99,2013,White,46.4560767,11.2623877
Barrel Fermented Chardonnay 2017,South Africa,Franschhoek,Holden Manz,4.1,85,23.95,2017,White,-33.935225,19.115128
Il Mandorlo Gavi 2016,Italy,Gavi,Tenuta San Pietro,4.2,86,16.95,2016,White,43.9072723,10.5977668
Chardonnay 2019,South Africa,Paarl,Glen Carlou,4.2,86,14.5,2019,White,-33.8117628,18.9032982
Le Vaglie Verdicchio dei Castelli di Jesi Classico 2019,Italy,Verdicchio dei Castelli di Jesi,Azienda Santa Barbara - Stefano Antonucci,4.1,87,11.3,2019,White,43.5831939,13.0257351
Wehlener Sonnenuhr Riesling Auslese 2016,Germany,Wehlen,Joh. Jos. PrÃ¼m,4.4,87,36.58,2016,White,49.941491,7.0459825
