Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Type,latitude,longitude
ChÃ¢teauneuf-du-Pape Prestige 2012,France,ChÃ¢teauneuf-du-Pape,Domaine de la Janasse,4.1,26,69.95,2012,White,44.0745026,5.1882917
Sancerre Blanc 2019,France,Sancerre,Pascal Jolivet,4.1,26,24.24,2019,White,33.7700504,-118.1937395
Ritme Blanc 2017,Spain,Priorat,Acustic Celler,4,26,16.99,2017,White,41.1268098,0.7963686
Arcane 2018,France,Saumur,ChÃ¢teau de Fosse-SÃ¨che,4,26,27.2,2018,White,47.1575222,-0.208358
Chenin 2018,South Africa,Western Cape,Luddite,4,26,32.9,2018,White,-34.5062769,138.967706
Vieilles Vignes CÃ´tes Catalanes Blanc 2015,France,CÃ´tes Catalanes,Gauby,4,26,29.15,2015,White,42.74938,2.7636073
Pessac-LÃ©ognan Blanc 2015,France,Pessac-LÃ©ognan,ChÃ¢teau Gazin Rocquencourt,4,26,34.15,2015,White,44.7303074,-0.617939
Pratum 2015,Italy,SÃ¼dtirol - Alto Adige,Castel Sallegg,4,26,26.29,2015,White,46.414789,11.239828
Ã–lberg Riesling 2017,Germany,Rheinhessen,KÃ¼hling-Gillot,4.2,26,35.65,2017,White,49.93124,8.3066
M GrÃ¼ner Veltliner Smaragd 2017,Austria,Wachau,F.X. Pichler,4.3,26,72.5,2017,White,48.3877757,15.530616
Barrique Sauvignon Blanc 2015,New Zealand,Marlborough,Saint Clair,4,27,18.95,2015,White,42.8208653,-82.486024
Schiefersteil Riesling 2018,Germany,Mosel,Markus Molitor,4,27,12.5,2018,White,42.574904,-2.544317
Markus Pfaffmann Sauvignon Blanc Trocken 2019,Germany,Pfalz,Karl Pfaffmann,4.1,27,7.5,2019,White,49.2346244,8.1198316
Ritterpfad Riesling Kabinett 2015,Germany,Mosel,Van Volxem,4,27,17.95,2015,White,49.6427945,6.5787574
Catarratto - Zibibbo 2019,Italy,Terre Siciliane,Vaccaro,4,27,7.31,2019,White,41.1519317,-81.63385
Bentrock Chardonnay 2013,United States,Sta. Rita Hills,Sandhi,4.1,27,89,2013,White,41.1519317,-81.63385
FreundstÃ¼ck GG 2017,Germany,Pfalz,Georg Mosbacher,4.1,27,28.24,2017,White,49.4232231,8.1898981
Graacher Himmelreich Riesling Auslese 2016,Germany,Graach,Joh. Jos. PrÃ¼m,4.1,27,32.65,2016,White,49.4232231,8.1898981
HÃ¶llberg Riesling GG 2017,Germany,Rheinhessen,Wagner-Stempel,4,27,37.56,2017,White,49.79729,7.95609
Geheimrat J Riesling SpÃ¤tlese Trocken 2015,Germany,Rheingau,WeingÃ¼ter Wegeler,4.1,27,24.9,2015,White,50.3148115,7.522224
Merus Sauvignon Blanc 2019,Italy,Trentino,Tiefenbrunner,4.1,27,9.99,2019,White,50.3148115,7.522224
Forster Ungeheuer Riesling 2018,Germany,Pfalz,Von Winning,4.3,27,35,2018,White,49.4106226,8.1863799
CÃ  del Lago Lugana 2019,Italy,Lugana,Villabella,4,27,9.83,2019,White,38.7881393,-77.3013687
Hard 2017,Germany,Baden,Ziereisen,4.3,27,26.5,2017,White,47.6547677,7.5591644
Lugana 2019,Italy,Lugana,Roveglia,4.1,27,11.9,2019,White,48.0889834,7.6292858
WÃ¼rzburger Stein Silvaner GG 2016,Germany,Franken,Juliusspital,4,27,29.9,2016,White,49.7978083,9.9312636
Paradies Riesling 2018,Germany,Nahe,Korrell,4.1,27,22.7,2018,White,49.8441406,7.9146891
Ungeheuer Riesling GG 2018,Germany,Pfalz,Dr. Von Bassermann-Jordan,4.2,28,34.12,2018,White,49.4081542,8.1857663
