name,winery,country,latitude,longitude
253,Emrich-Schönleber,Germany,42.5699439,-2.8608441
254,Markus Molitor,Germany,42.5699439,-2.8608441
255,Cantina Bolzano / Kellerei Bozen,Italy,46.5017481,11.3120923
256,Domaine de la Foliette,France,47.17206909999999,-1.4128045
257,Reichsrat von Buhl,Germany,47.17206909999999,-1.4128045
258,Te Whare Ra,New Zealand,-41.5122538,173.8146215
259,Dr. Von Bassermann-Jordan,Germany,49.4081542,8.1857663
260,Knipser,Germany,49.4081542,8.1857663
261,Verus,Slovenia,49.4081542,8.1857663
262,Domaine d'Aubaret,France,44.889787,3.263736
263,Von Winning,Germany,49.4106226,8.1863799
264,Gérard Bertrand,France,49.4106226,8.1863799
265,Borgo Paglianetto,Italy,43.271756,12.984795
266,Zenato,Italy,43.271756,12.984795
267,Domaine Bruno Clair,France,47.2719872,4.9908534
268,August Kesseler,Germany,49.988934,7.866159
269,Domaine Saumaize-Michelin,France,46.3113586,4.7159852
270,Tenuta Ulisse,Italy,42.287183,14.328243
271,Sacchetto,Italy,44.6286388,7.559281400000001
272,Dönnhoff,Germany,44.6286388,7.559281400000001
273,Ansgar Clüsserath,Germany,49.82332,6.899389999999999
274,Pépière,France,47.1047355,-1.4108065
275,Château de Nalys,France,44.0675327,4.8502867
276,Cantina Bolzano / Kellerei Bozen,Italy,46.5017481,11.3120923
277,Villa Welter,Germany,49.90541,8.06817
278,Château Mont-Redon,France,44.082746,4.811612999999999
279,St. Antony,Germany,44.082746,4.811612999999999
280,Von Winning,Germany,49.4106226,8.1863799
281,Klumpp,Germany,46.5445156,-87.39786959999999
282,Avignonesi,Italy,43.1735657,11.9332981
283,Weinhaus Gebruder Steffen,Germany,49.8204869,6.8987102
284,Masseria Altemura,Italy,40.4841667,17.7666667
285,Cape of Good Hope,South Africa,-34.3568425,18.4739882
286,Conceito,Portugal,-34.3568425,18.4739882
287,Herrenhof Lamprecht,Austria,47.0542711,15.805406
288,Pokerface,Australia,47.0542711,15.805406
289,Frescobaldi,Italy,47.0542711,15.805406
290,Stemmari,Italy,47.0542711,15.805406
