Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Type,latitude,longitude
Gran Selección Valdepeñas 2017,Spain,Valdepeñas,Viña Albali,3.5,243,5.99,2017,Red,20.6204852,-87.1035035
Ribera del Duero 14 Meses en Barrica 2015,Spain,Ribera del Duero,Monteabellon,3.9,243,32.0,2015,Red,41.6124862,-3.9665331
Puro Corte 2017,Argentina,Mendoza,Dieter Meier,3.8,243,16.95,2017,Red,41.6124862,-3.9665331
Marlborough Pinot Noir 2016,New Zealand,Marlborough,Wild Rock,3.7,243,22.5,2016,Red,43.5906321,-89.7797169
Cirò Classico Rosso 2016,Italy,Cirò,Librandi,3.4,243,5.14,2016,Red,43.5906321,-89.7797169
La Gioia Toscana 2013,Italy,Toscana,Riecine,4.3,243,44.9,2013,Red,43.4749723,11.4418652
Châteauneuf-du-Pape Cuvée Anonyme Rouge 2016,France,Châteauneuf-du-Pape,Xavier Vignon,4.0,243,39.95,2016,Red,44.050567,4.8488115
Brunello di Montalcino 2013,Italy,Brunello di Montalcino,Gianni Brunelli,4.3,243,67.3,2013,Red,43.0278979,11.5178124
Aliotto Toscana 2016,Italy,Toscana,Tenuta Podernovo,3.4,243,9.99,2016,Red,43.5408134,10.6700496
Carmenère 2017,Chile,Peumo,Marques de Casa Concha,4.1,2433,15.9,2017,Red,43.5408134,10.6700496
The Blend 2014,Chile,Colchagua Valley,Primus,3.8,2434,14.9,2014,Red,43.5408134,10.6700496
Valdepeñas Gran Reserva 2010,Spain,Valdepeñas,Pata Negra,3.6,2439,6.3,2010,Red,43.5408134,10.6700496
Rosso di Montalcino 2016,Italy,Rosso di Montalcino,Siro Pacenti,4.0,244,27.5,2016,Red,43.074123,11.507062
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2013,France,Saint-Émilion Grand Cru,Château Canon-La-Gaffelière,4.2,244,70.19,2013,Red,44.8811123,-0.1606794
Alto Tajamar Syrah 2009,Chile,Maipo Valley,Viña Maipo,4.3,244,79.34,2009,Red,-33.4177536,-70.60170280000001
